ZIP_NEW,BEDS,BATHS,SQUARE_FEET,LOT SIZE,YEAR_BUILT,PRICE
92307,4,3,2652,43560,1981,325000
93444,3,3.5,3233,8763,2007,1200000
92583,3,2,2244,7405,2006,318000
92627,6,5.5,3700,6163,2006,2095000
92582,4,2,1767,7405,2000,299900
92083,4,2,1926,11229,1992,530000
92308,5,4,2823,12102,2005,349000
92025,3,2.5,1460,188561,2003,480000
93505,4,2,1613,9148,2007,189900
92065,4,2.5,3265,1750,2018,999999
92307,4,2.5,2280,29999,2018,368900
91913,3,2.5,1758,6858,1994,580000
92307,3,2,2486,43560,1983,355700
93454,3,2.5,1568,2178,2010,399900
92324,3,2.5,1580,3880,1989,315000
95033,4,2,1500,7924,1992,1300000
92508,5,2.75,3370,7405,2005,548000
92065,3,2.5,2626,436906,1994,795000
92508,4,2.5,2651,7405,2004,508500
92078,4,3,2492,2100,1994,829000
92582,4,2,1736,7405,2000,334999
92508,5,2.5,3805,7841,2001,597000
92325,2,1,816,4900,1985,219000
92544,3,2,1421,8276,1981,269500
93428,2,2,1134,2000,1989,895000
92508,4,3,2131,5227,1990,419999
92307,3,2,1774,23380,1970,233000
93428,4,2.25,1924,3500,1999,989000
94591,4,3.5,3565,12837,2003,1300000
92307,4,1.75,1834,43500,1968,319900
92508,4,2.5,2870,8712,2006,485000
92508,5,3.5,3691,10454,2008,573000
92807,5,3,3049,12000,1991,1075000
93561,3,2,1394,11491,2005,244000
92582,3,2.5,1426,3485,2016,259900
93955,4,3,2380,7086,1996,740000
92065,4,2,2500,1400,2003,739000
92028,4,3,2838,47916,1998,756000
92311,3,2,1344,101930,2004,99000
92307,4,2.5,3247,18000,2001,368000
94038,4,3,3385,12196,1990,3630000
92508,4,2.5,1973,5227,1990,454750
92508,4,2,1972,62291,1983,579000
93463,4,3,2271,15245,2000,875000
92508,6,3,3198,6970,2005,490000
92886,3,2.5,1540,3200,2014,748800
92508,3,2,1557,4792,1989,409900
92508,3,2,1362,4792,1992,389000
92065,4,2.5,2472,510523,1994,895000
92308,3,2.5,2692,31150,1989,429950
91784,4,2.5,1951,6300,1988,555000
94550,2,1.5,1104,1050,2014,499000
94550,2,1.5,1104,1050,2014,499000
92694,3,2.5,2922,6915,2004,1060000
92677,2,2,1297,6400,1991,735000
92656,4,3,2500,12325,1991,1249000
92610,4,2.5,2516,7000,1992,945000
92694,4,3.5,3250,7200,2018,1249000
92688,4,2.5,2400,4802,1999,849900
92694,5,3,3309,4700,2003,1048000
92625,3,3.5,2639,13600,1986,1995000
92653,3,2.5,1769,4600,1985,768000
92679,4,4,3343,7236,1997,1179000
92694,3,2.5,1623,2392,2001,699000
92688,3,3,1670,7000,1995,750000
94558,4,4,3500,45302,2017,2975000
92677,4,3,1792,4356,1986,750000
92629,4,2.5,2847,14300,1989,1399000
92657,4,2.5,2819,7547,2001,3950000
92688,4,2.5,2460,7344,1993,918000
92602,4,3.5,2890,5710,2000,1298800
92694,3,2.5,2184,1750,2004,750000
93924,3,3,1632,435600,1990,729000
92679,4,2.5,2400,3800,1997,835000
93449,4,3.5,3275,9817,1990,1175000
92614,5,4.5,3511,6500,1984,1799900
92620,5,4.5,2992,5983,2005,1780000
92656,5,3,3700,6220,1999,1499000
95073,4,3,3434,10241,2018,2150000
92602,4,2.5,2335,3488,2001,1100000
92679,4,3,2696,10187,1992,989000
93285,4,4,2626,23307,1987,389000
94949,4,3.5,3497,18361,1985,2399000
92532,5,4.5,3711,17860,2006,629000
94571,2,2,1907,5680,2005,399900
93444,4,2.5,1851,7471,2018,559000
94070,5,4.5,3900,10458,1989,3598000
93435,4,3,3000,1822986,2017,1600000
94060,2,2,1200,871200,1984,1250000
92672,5,5.5,3874,7031,2015,2872172
93436,4,3,2313,8712,2007,445000
92661,5,5.5,3968,3168,1991,11500000
94599,3,2.5,2720,12926,1990,2395000
93222,3,2,1752,14533,2006,365000
92886,3,2.5,2558,7226,2009,1124888
93312,4,2.5,2288,18004,1992,369998
91977,4,2,1290,1400,1994,479000
92065,3,3,1976,2100,1989,689000
93561,4,2.75,2611,139392,1984,299000
93505,3,2,1611,9779,2006,212500
93505,4,3,2320,11325,2018,305000
92307,4,2,2331,45300,2003,319800
91913,3,2.5,1559,1750,2005,505000
92407,3,2,1128,7200,1985,319900
92886,3,2.5,2558,7888,2009,1120000
92307,3,2,1819,44431,1977,320000
92110,3,3,2218,8300,2008,1449000
91709,4,3,2526,8058,1986,725000
92886,4,3.5,3826,10738,2014,1520000
92065,5,3.5,3451,201683,1990,769000
92881,3,2,1768,13939,1981,524900
92886,4,3.5,3227,10715,2014,1399500
93312,4,2.75,3257,18016,1989,509990
91913,5,3,2347,2100,2001,700000
91913,4,3,2058,2100,2003,638000
92065,4,3.5,2903,2450,2006,745000
92508,3,2,2123,10019,1989,449000
94019,4,3.5,3006,6944,2002,2189000
92374,4,3.5,3162,7800,2017,620000
93561,3,2,1774,20105,2015,284900
94559,3,3,1742,19872,1942,1399000
93222,3,3,1782,8753,1991,344900
93561,4,2,1210,35045,1992,235000
93561,3,2,1568,8452,1986,199000
92886,5,4.5,3789,6869,2006,1479888
93561,3,2,2407,871200,2000,449000
